StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,UserExp_AF,Request_AF,UserExp_PP,Request_PP,UserExp_AM,Request_AM,UserExp_AL,Request_AL,State,Law_Awareness,AttEnact_Disc,EnactExplain_Disc,ChangesExplain_Disc,AttEnact_Exp,EnactExplain_Exp,ChangesExplain_Exp,AttEnact_Req,EnactExplain_Req,ChangesExplain_Req,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,AppCategory,AppName,AppDescr
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"You are being asked to take part in a research study about how data minimization regulations are applied. Please read this form carefully and ask any questions you may have before agreeing to take part in the study.

What the study is about: The purpose of this study is to understand how people would interpret regulations requiring companies to limit the purposes for which they collect user data.

What you will be asked to do: If you agree to be in this study, you will be asked to complete a survey about the purposes for which you think companies should be allowed to collect data. We’re interested in understanding how you interpret purpose limitation in a variety of app contexts.

Duration of the study: This study will take approximately 10 minutes. 

Risks: We do not think there are any risks to participating in this study. If you feel uncomfortable, you may quit the study at any time.


Compensation: You will be paid $2.75 for completing the study.

Confidentiality: Because you will not be providing any information that can uniquely identify you, the data you provide will be anonymous. Your responses will be password-protected and only researchers working on this study will be able to access them.


How we will use your answers: We may publish posters, papers, or presentations using knowledge we have derived from your answers, but we will ensure that there is no way to figure out what your answers were from the published material.


Taking part is voluntary: Taking part in this study is completely voluntary. If you decide to take part, you are free to withdraw at any time without consequence.


If you have questions: The principal investigator is Prof. Eleanor Birrell. If you have any questions, you may contact her at eleanor.birrell@pomona.edu. If you have any questions or concerns regarding your rights as a subject in this study, you may contact the Pomona College Institutional Review Board (IRB) Manager, the Associate Dean for Research, at IRB@pomona.edu.

STATEMENT OF CONSENT: I have read the above information and have received answers to any questions I asked. I consent to take part in the study.","Data collected for the purpose of app functionality is used to enable app features, authenticate users, prevent fraud, or implement security measures. As a user, do you expect this [Field-AppCategory] app to collect data for app functionality?",Which of the following do you think indicates that a user is requesting for this [Field-AppCategory] app to collect data for app functionality? Select all that apply.,"Data collected for the purpose of product personalization is used to customize the content and suggestions that the user sees, such as showing recommended content or suggestions. As a user, do you expect this [Field-AppCategory] app to collect data for product personalization?",Which of the following do you think indicates that a user is requesting for this [Field-AppCategory] app to collect data for product personalization? Select all that apply.,"Data collected for the purpose of advertising or marketing is used to display or target ads or marketing communications. This may include sharing data with other companies who display ads. As a user, do you expect this [Field-AppCategory] app to collect data for advertising or marketing?",Which of the following do you think indicates that a user is requesting for this [Field-AppCategory] app to collect data for advertising or marketing? Select all that apply.,"Data collected for the purpose of analytics is used to measure how people use the app and monitor how the app performs, to diagnose and fix bugs or crashes, or to plan new features. As a user, do you expect this [Field-AppCategory] app to collect data for analytics?",Which of the following do you think indicates that a user is requesting for this [Field-AppCategory] app to collect data for analytics? Select all that apply.,What state do you live in?,"As far as you are aware, which states (if any) have enacted legislation regulating data minimization?",Indicate to what extent you agree with the following statement: Enacting this data minimization regu,Please explain your previous response:,"What changes, if any, do you think app developers will have to make to comply with this regulation?",Indicate to what extent you agree with the following statement: Enacting this data minimization regu,Please explain your previous response:,"What changes, if any, do you think app developers will have to make to comply with this regulation?",Indicate to what extent you agree with the following statement: Enacting this data minimization regu,Please explain your previous response:,"What changes, if any, do you think app developers will have to make to comply with this regulation?",What is your current age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Do you consider yourself to be Hispanic/Latino/Latinx?,Choose one or more races that you consider yourself to be: - Selected Choice,Choose one or more races that you consider yourself to be: - Other - Text,What is the highest level of education you have attained? - Selected Choice,What is the highest level of education you have attained? - Other - Text,PROLIFIC_PID,STUDY_ID,SESSION_ID,AppCategory,AppName,AppDescr
2025-04-21 18:01:10,2025-04-21 18:04:45,IP Address,100,215,TRUE,2025-04-21 18:04:45,R_6jcsXsCXUJD7A9Y,anonymous,EN,I consent to participate in this study,Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.",Probably not,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.",Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Creating and signing into an account is a request for data to be collected for this purpose.",Not sure,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Nevada ,,Agree,I believe the data should be better regulated ,Limiting how much data they have ,Agree,It should be a reasonable purpose ,Making it reasonable ,Neutral,I have no opinion ,None ,25-34,Man,,No,Black or African American,,"High school degree or equivalent (e.g., GED)",,6296bef3248bf76cc113926b,6806e80aa09de22ad716aebf,6806ea4d52451d87d9914746,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
2025-04-21 18:00:25,2025-04-21 18:05:21,IP Address,100,296,TRUE,2025-04-21 18:05:21,R_3NbvXoTIIsmIyzk,anonymous,EN,I consent to participate in this study,Probably yes,"Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Probably yes,"Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Probably yes,"Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Definitely yes,"Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Texas,,Strongly Agree,The user is entitled to knowledge about their data being used. ,Include more disclosure of the data that they take,Strongly Agree,Consumers should have the peace of mind knowing that their data would not be used for any unethical/dangerous reasons. ,Tell the user that they use their data in a normal way in the terms & conditions,Strongly Agree,It is only fair for the user to benefit from it if their data is being used,Use data to help the user's algorithm ,18-24,Man,,No,White,,Some college but no degree,,6671addff35007ecc777b619,6806e80aa09de22ad716aebf,6806ea2492f78a6853497fcd,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
2025-04-21 17:59:24,2025-04-21 18:05:29,IP Address,100,364,TRUE,2025-04-21 18:05:29,R_3CsdIm1kIoeCb2l,anonymous,EN,I consent to participate in this study,Definitely yes,"Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.",Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.",Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Definitely yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Idaho,California,Agree,It is good to explain what is going on.,Just make disclosures.,Agree,Most people are not aware of the extent on what is collected and that may be seen as mischievous. ,Maybe remove certain types of analytics. ,Disagree,Should not be necessary.,none.,35-44,Man,,No,White,,Associates or technical degree,,66231fc6e1ecba676935943a,6806e80aa09de22ad716aebf,6806e9e7c2941a298ed9b4ef,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
2025-04-21 18:01:08,2025-04-21 18:05:45,IP Address,100,276,TRUE,2025-04-21 18:05:45,R_5hDOdvSRV2ovzMo,anonymous,EN,I consent to participate in this study,Not sure,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.",Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",Probably yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.",Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.",Arizona ,,Neutral,Neutral ,Still collecting less data,Agree,I agree with it,Collecting less data,Neutral,I'm indifferent ,Collecting less data,45-59,Woman,,No,White,,Some college but no degree,,668350648b8a9f7ca3785ec3,6806e80aa09de22ad716aebf,6806ea4c2a14125362825d50,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
2025-04-21 18:00:43,2025-04-21 18:06:03,IP Address,100,319,TRUE,2025-04-21 18:06:03,R_7TBsNzOBOPTWYlv,anonymous,EN,I consent to participate in this study,Probably yes,"Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Probably yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Probably yes,"Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Probably yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Michigan ,,Agree,I think any use of data should be disclosed ,,Strongly Agree,It makes sense ,,Agree,I think data usage should be limited to the purpose for which it was given ,,45-59,Woman,,No,White,,Bachelor's degree,,674522817a49cb1c784dd2e3,6806e80aa09de22ad716aebf,6806ea33c031e3b257964665,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
2025-04-21 17:58:08,2025-04-21 18:06:14,IP Address,100,485,TRUE,2025-04-21 18:06:14,R_5ilHsc1HB3exAXW,anonymous,EN,I consent to participate in this study,Definitely yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",Definitely yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",Definitely yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Pennsylvania ,"California,Illinois,New York,Vermont,Washington",Strongly Agree,Only necessary data should be able to be sold.,Stop asking for irrelevant details.,Strongly Agree,This is the same question as the last two questions.,Is it the same question as the last two questions,Strongly Agree,My data should be kept safe ,Making data safer and less selling of personal data.,60-74,Man,,No,White,,Bachelor's degree,,646c323d73a3844a4331e09b,6806e80aa09de22ad716aebf,6806e998dffb0ed5c541dd47,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
2025-04-21 17:58:55,2025-04-21 18:06:43,IP Address,100,468,TRUE,2025-04-21 18:06:43,R_62LkIxmk4bpNZgz,anonymous,EN,I consent to participate in this study,Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.",Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",Probably yes,"Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",ohio,,Strongly Agree,They should only be able to gather whatever they disclose so that we have a choice to use the app or not.,Have solid disclosures that are easy to read.,Agree,I think that too much of our information is currently gathered and I believe it should be minmized.,Relying less on personal data.,Agree,"I want minimal personal data collected when I am online, even if I have to work harder to find the information that I need.",Learn to rely less on peoples personal data.,45-59,Woman,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,657b8d0f70532c79db2ebe95,6806e80aa09de22ad716aebf,6806e9c2bd7c31afb0c7a733,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
2025-04-21 18:00:20,2025-04-21 18:06:49,IP Address,100,389,TRUE,2025-04-21 18:06:49,R_7DbD9xtrzHrmZBn,anonymous,EN,I consent to participate in this study,Probably yes,"Installing the app is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",Definitely yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Definitely yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.",Probably yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Opting-in to a specific prompt from the app, such as a pop-up to opt-in via a button or checkbox, is a request for data to be collected for this purpose.", California,California,Strongly Agree,App developers should be honest with what data they are collecting and properly disclose it to them.,App developers should be up front and honest and disclose what data they are collecting.,Strongly Agree,I believe companies should comply with data regulations and laws.,I think app developers should properly disclose to consumers on what data is being collected and how it is being collected.,Strongly Agree,Data collection should be appropriate and proportionate to why it is being collected.,App developers should only collect data that is essential and be honest with consumers.,25-34,Man,,No,White,,Associates or technical degree,,67414dcbcf89f6a633385d49,6806e80aa09de22ad716aebf,6806ea14ad671896cd2a7605,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
2025-04-21 18:00:40,2025-04-21 18:07:36,IP Address,100,416,TRUE,2025-04-21 18:07:37,R_3hBc6xZigOsuF5b,anonymous,EN,I consent to participate in this study,Probably yes,"Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.",Definitely yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.",Probably yes,"Installing the app is a request for data to be collected for this purpose.,Using the app is a request for data to be collected for this purpose, as long as there is an option to opt-out that has not been invoked.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.,Messaging a company representative directly is a request for data to be collected for this purpose.",Probably yes,"Installing the app is a request for data to be collected for this purpose.,Using app features related to this purpose is a request for data to be collected for this purpose.,Creating and signing into an account is a request for data to be collected for this purpose.,Agreeing to the terms and conditions or a privacy policy by checking a box or clicking a button on first use is a request for data to be collected for this purpose.,Turning on data collection in settings, either in the app or via device permissions, is a request for data to be collected for this purpose.",New Jersey,"Connecticut,Louisiana,New Hampshire,Ohio,Texas",Agree,They need to inform the consumer,Very limited data should be collected,Agree,They should not be able to do what they want with your data,Limited data and no data if app is not used,Strongly Agree,I don't think there should be anything done without the consent of the person,Just the limited data needed for the app and nothing more,60-74,Woman,,No,White,,"High school degree or equivalent (e.g., GED)",,66717200063fc2eb3987270a,6806e80aa09de22ad716aebf,6806ea2f7e4df2b2a6a5577c,finance,Venmo,"that allows you to pay and request money from your friends. The app provides a social way to pay friends when users owe money and don’t want to deal with cash, for example, when splitting a lunch bill or cab fare. You can pay people from their in-app balance, credit/debit card, or bank account."
