Duration (in seconds),RecordedDate,App-Func,Product-Pers,Adv-Marketing,Analytics,Att-Enact,Att-Enact-Explain,Changes-Explain,State,Law-Awareness,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,Condition,Law,AppCategory,AppName
155,4/18/25 9:14,"User ID,Name,Email Address,Physical Address,Phone Number,Payment Info","Physical Address,Web Browsing History","Physical Address,Web Browsing History","Physical Address,Phone Number,In-App Search History",Strongly Agree,,,California,,25-34,Man,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,63ed0065eb23ac3ee1726453,67fecb3ede31a76593440504,680279d7cd937dca30515744,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
162,4/18/25 9:15,"User ID,Email Address,Gameplay Content","User ID,Information that uniquely Identifies your Device,Purchase History,In-App Search History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","User ID,Physical Address,Precise Location,Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","User ID,Information that uniquely Identifies your Device,Precise Location,Web Browsing History,Information about the Advertisements the user has seen",Agree,I want to limit the amount of personal data to be minimized. ,Their requirement will need to be bare-bones and minimilstic. ,Texas,,45-59,Man,,Yes,White,,Bachelor's degree,,6581b7c4798415297872c04d,67fecb3ede31a76593440504,680279e748cae7b50fa18897,California,to a purpose that consumers would reasonably expect.,game,Roblox
192,4/18/25 9:15,"In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Information about the Advertisements the user has seen,"Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Strongly Agree,"I believe protecting data is a matter of individual rights, security and safety.",Limit how to collect and retain personal data.,MA,,35-44,Woman,,No,Black or African American,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,6631a1c8755d8554913b3b86,67fecb3ede31a76593440504,680279c5cf49de720c75a641,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
193,4/18/25 9:15,"User ID,Name,Email Address,Phone Number,Payment Info,Purchase History",Purchase History,Purchase History,Purchase History,Strongly Agree,,,NC,,45-59,Woman,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,67f2e6b1b04c6020f9117fe2,67fecb3ede31a76593440504,680279d5f9a6b0774176f2a0,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
203,4/18/25 9:15,,,,,Strongly Agree,I believe a company should not collect my personal data for any reason.,They will have to change the functionality of their apps.,WA,,60-74,Woman,,No,White,,Some college but no degree,,5c6b646349b7f0000120b659,67fecb3ede31a76593440504,680279cd27ded2a9e9930507,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
223,4/18/25 9:15,"User ID,Information that uniquely Identifies your Device,Name,Email Address,Coarse Location,Gameplay Content,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Information that uniquely Identifies your Device,Coarse Location,In-App Search History,Information about the Advertisements the user has seen","User ID,Information that uniquely Identifies your Device,Coarse Location,In-App Search History,Information about the Advertisements the user has seen","Information that uniquely Identifies your Device,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing",Strongly Agree,"Apps generally ask for access to things that have absolutely nothing to do with the app, regardless if the information they gather is not important.",They will stop trying to take over data collection of everything you do on your phone outside of the app.,New York,,25-34,Man,,No,White,,Some college but no degree,,5f6e723379ef5f3be5d2fde1,67fecb3ede31a76593440504,680279c2850aabb998f233c4,California,to a purpose that consumers would reasonably expect.,game,Roblox
181,4/18/25 9:15,"User ID,Information that uniquely Identifies your Device,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Crash Data","User ID,Information that uniquely Identifies your Device,Gameplay Content,Information about how the user Interacts with the App",,Information about how the user Interacts with the App,Strongly Agree,Data gathering should be minimized,I have no idea how they have developed it already,Kentucky,,60-74,Man,,No,White,,Bachelor's degree,,60c770aa2d2928bfda4c7cd4,67fecb3ede31a76593440504,680279e6002ea81ae3eb2cdf,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
231,4/18/25 9:15,"Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",,,"Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Strongly Agree,Data is misused frequently ,Collect less data,Nebraska,,45-59,Woman,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,667746ecd51176477fc56d12,67fecb3ede31a76593440504,680279cbc4585930215d937f,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
206,4/18/25 9:16,Information about how the App is Performing,"User ID,Coarse Location,Purchase History,In-App Search History,Information about how the user Interacts with the App","In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen",Crash Data,Agree,I think only the essential data should be collected as it does help with the functionality of certain apps but this does mean collecting all kinds of data of its users. ,Maybe the disclaimers they provide to users on what data is collected. ,Virginia,,25-34,Woman,,Yes,Other,Hispanic/Latino,Bachelor's degree,,6644ba0cfa5897d92ceb35fd,67fecb3ede31a76593440504,680279ff679fc016fe9123e9,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
234,4/18/25 9:16,"Customer Support,Crash Data,Information about how the App is Performing",,,"User ID,Information that uniquely Identifies your Device,Customer Support,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Agree,I hate how much of my data is collected.  ,Stip listening and recording everything little thi g that is done,Florida,,35-44,Woman,,No,White,,"High school degree or equivalent (e.g., GED)",,5dd40277e08a363e4e006384,67fecb3ede31a76593440504,680279df8e996147153d9d64,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
273,4/18/25 9:16,"Information that uniquely Identifies your Device,Payment Info,Purchase History,In-App Search History,Photos or Videos,Audio Data,Customer Support","In-App Search History,Photos or Videos","Name,Email Address,Physical Address,Phone Number","Precise Location,Crash Data",Strongly Agree,I believe that it is absolutely necessary for people to be protected online. There are too many scammers out there and you can never be too safe.,"If anything, I think they will start to decrease the amount of information needed for most of these websites or apps.",North carolina,Massachusetts,35-44,Man,,No,White,,Some college but no degree,,652ec349c589a18943280477,67fecb3ede31a76593440504,680279c11e02712822d0daf7,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
289,4/18/25 9:17,"User ID,Information that uniquely Identifies your Device,Coarse Location,Payment Info,Purchase History","User ID,Information that uniquely Identifies your Device,Name,Email Address,Physical Address,Phone Number,Coarse Location,Precise Location,Payment Info,Purchase History","Information that uniquely Identifies your Device,Name,Email Address,Coarse Location","User ID,Information that uniquely Identifies your Device,Name,Email Address,Phone Number,Coarse Location,Precise Location,Payment Info,Purchase History,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing,Sensitive Demographic and Biometric Information",Agree,"With the advent of AI it can predict all personal aspects of our lives based on a small amount of data, dangerous in the coming years.",They may alter some of the aspects such as looking at web history and personal biometric data and location.,West Virginia,,45-59,Man,,No,White,,Bachelor's degree,,67cc63a3a8d24ad74be65272,67fecb3ede31a76593440504,680279dcb4b06c38c2c45f63,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
