Duration (in seconds),ResponseId,UserExp-AF,Request-AF,UserExp-PP,Request-PP,UserExp-AM,Request-AM,UserExp-AL,Request-AL,State,Law-Awareness,AttEnact-Disc,EnactExplain-Disc,ChangesExplain-Disc,AttEnact-Exp,EnactExplain-Exp,ChangesExplain-Exp,AttEnact-Req,EnactExplain-Req,ChangesExplain-Req,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,AppCategory,AppName
256,R_5kKdWR2rbOFP9XH,2,"1,2,3,4,5,6,8",2,"2,3,4,5,6",2,"2,3,4,5,6",2,"1,2,3,4,5,6",texas,,2,i agree,i agree as long as the customer approves,4,it is too vague,I needs to be more specific,4,i do not think it protects the customer enough ,make it more protective to the customer ,3,1,,2,1,,1,,678408b0ce4bc7f5bd48469d,6806e80aa09de22ad716aebf,6806e8fd86451e943c5a9ada,food and drink,DoorDash
238,R_7mgucXzmnOigG0p,2,"4,6",2,"1,3,5",2,"3,4,7",4,"2,5,6",oh,35,1,"I strongly agree because this regulation supports transparency, accountability, and consumer trust. When companies are required to limit data collection to only what’s necessary and proportionate to clearly disclosed purposes, it reduces the risk of misuse or exploitation of personal information. It also gives consumers more control over their data and encourages ethical business practices. In a time when data privacy concerns are at an all-time high, this type of regulation is a necessary step toward responsible tech development.","Reevaluate what data they collect and ensure it's clearly tied to a disclosed and justified purpose.

Update privacy policies to reflect specific, understandable explanations for each type of data collected.

Build or revise consent mechanisms to align with these specific purposes, allowing users to opt in with full awareness.

Implement backend changes to restrict access to non-essential data across systems.

Train teams on the importance of data minimization and ensure compliance is integrated into the product lifecycle.

These changes may require extra effort upfront, but they foster a more respectful and secure environment for users and ultimately benefit companies through increased user trust and legal protection.",1,"I strongly agree because data minimization prioritizes consumer privacy and trust. With so many apps and platforms collecting excessive personal information—often beyond what’s needed for basic functionality—this regulation would create boundaries that help protect users. It encourages ethical data practices, reduces risk in the event of data breaches, and ensures that users aren’t unknowingly overexposed just by using everyday services. Limiting data collection to what is reasonable and expected also fosters transparency and makes companies more accountable for how they handle user information.","App developers may need to audit their current data collection practices and remove or revise any that are not strictly necessary for core functionality. This could involve:

Updating data collection policies and privacy notices.

Reconfiguring app permissions to avoid requesting unnecessary access (e.g., camera, contacts, location).

Implementing clearer consent mechanisms so users understand why data is collected.

Training development and product teams on privacy-by-design principles.

Limiting backend data storage and ensuring retention policies are reasonable.

In essence, developers would need to design apps with privacy in mind from the start—focusing only on what is needed to deliver the intended service effectively.",1,"I strongly agree because the regulation protects consumers by ensuring their personal data is only used for clear, necessary purposes directly tied to the product or service they requested. Too often, companies collect excessive or unrelated data that can be misused or mishandled, putting users at unnecessary risk. This regulation promotes user trust, limits the impact of data breaches, and encourages companies to be more transparent and intentional with how they handle personal information. It supports a balance between functionality and privacy, which is essential in today’s digital landscape.","App developers will likely need to:

Conduct audits to evaluate what data they collect and why.

Eliminate data collection that isn’t strictly necessary to provide or maintain the specific service requested.

Refactor permission requests so they align only with the features the user actively uses.

Improve transparency in their privacy policies and user onboarding to clearly communicate what data is collected and for what purpose.

Design systems that implement “privacy by design,” ensuring minimal data is collected from the start.

Set appropriate data retention limits, deleting personal data once it's no longer needed for the original purpose.

Overall, developers will need to be more intentional and user-focused in their data practices, shifting from a “collect everything just in case” mindset to a more ethical and privacy-conscious approach.",2,2,,2,1,,2,,627a65a2439f59544115d476,6806e80aa09de22ad716aebf,6806e9be908f3fa13e080e61,photo and video,YouTube
303,R_6vNHYbSHYrktBDj,2,"1,2,3,4,5,6",2,"1,2,3,4,5",2,"1,2,3,4,5,6,7,8",1,"1,2,3,4,5,6,7,8",connecticut,7,2,no actual reason,no,2,for privacy and user comfort,no,2,for more privacy,no,4,1,,2,1,,1,,676a24c4766af0941f2060db,6806e80aa09de22ad716aebf,6806e9ba80f096da14f4634b,food and drink,DoorDash
365,R_6LbTCmn4F2zRdxe,2,"2,3,5,6,7",3,"2,3",3,"7,8",2,"2,3,4",AZ,,1,I think that is the exact purpose,I don't know,2,I think that really should be the case,I don't know,1,"If it is requested, yes.",N/A,3,1,,2,1,,1,,65fa0f069778c757ccaa9d58,6806e80aa09de22ad716aebf,6806e9a472744bf96fabc68e,food and drink,DoorDash
393,R_3Qsa0JhydpHQcVT,1,"5,6,7,8",1,"5,6,7,8",1,"5,6,7,8",1,"5,6,7,8",tx,,3,It will not make any difference. It is window dressing. ,Change some code around. Have more things to tell the customer in a pop up.,3,It will not make any difference. ,Change some code. ,3,It will not make any difference either way. Its window dressing,Change some code around.,3,1,,2,1,,5,,55b5f6b6fdf99b713277dc94,6806e80aa09de22ad716aebf,6806e9844560e7e3f47b615a,photo and video,YouTube
650,R_3GwUBGnzXJbUowV,1,"3,5,6,7",1,"3,5,6,7",1,"3,5,6,7",1,"2,3,5,6",Pennsylvania ,"5,6,32,46",2,This regulation emphasizes the importance of transparency and accountability in data practices. ,"Create user-friendly privacy policies that detail what data is collected, why it’s collected, and how it will be used, making sure to avoid technical jargon.
",2,"This approach aligns data collection with consumer expectations, fostering trust and transparency. By ensuring that only necessary data for anticipated purposes is collected, companies can enhance user confidence and comply with privacy standards. ",Gather insights through surveys or focus groups to understand what data users expect to share for specific app features.,2,"This regulation emphasizes the importance of collecting only the data necessary to fulfill a consumer's request, which helps protect consumer privacy while ensuring that companies can deliver tailored services. ",Review and limit the types of personal data collected to only what is necessary for providing the requested service or product.,2,2,,2,2,,2,,655f8bf6de805f7bd81e5811,6806e80aa09de22ad716aebf,6806e89aa612a78abefbe0c9,game,Roblox
215,R_6jcsXsCXUJD7A9Y,2,2,4,"1,2",2,"2,4",3,5,Nevada ,,2,I believe the data should be better regulated ,Limiting how much data they have ,2,It should be a reasonable purpose ,Making it reasonable ,3,I have no opinion ,None ,2,1,,2,2,,3,,6296bef3248bf76cc113926b,6806e80aa09de22ad716aebf,6806ea4d52451d87d9914746,finance,Venmo
235,R_505DmrQ5obgQt3a,2,"3,5",1,"1,2,3,4,5",2,"1,2,4,5",2,"3,5,7",Florida,"5,37,47",1,My personal choices and actions should not be used to make other peope money,opt out options highly visible,1,again my personal info and actions should not be for sale,opt out options highly visible,1,take only what you actually need.  I am not a guinea pig,opt out options or highly visible notices on what is collected,4,1,,2,1,,2,,64d53aae0f3f7317f6eb617e,6806e80aa09de22ad716aebf,6806ea43b7d6ef41e8ce9606,food and drink,DoorDash
431,R_1NcpwrCN3SUEMFz,2,"1,2,5,7",2,"1,2,3,5,6",3,"3,5",2,"2,5,6",Georgia,,1,Everything should always be disclosed to the consumer so that’s why I agree with this. ,Make sure they disclose to the consumer in a way that the consumer understands ,2,They take what is necessary that people would expect. That is reasonable because everyone expects companies to take some info when using their app or whatever it may be. ,Only use the necessary info ,2,I think that it makes sense because as it states it uses data that is necessary. There is no reason for companies to take more info than they really need because that is like an invasion of privacy. ,They will have to limit what info they take from people. ,2,2,,2,1,,5,,610888630b0ebdd3a7211e73,6806e80aa09de22ad716aebf,6806e98701ccbba8bee4c7a0,shopping,Walmart
296,R_3NbvXoTIIsmIyzk,2,"5,6,7,8",2,"5,6,7,8",2,"5,6,7,8",1,"4,5,6,7,8",Texas,,1,The user is entitled to knowledge about their data being used. ,Include more disclosure of the data that they take,1,Consumers should have the peace of mind knowing that their data would not be used for any unethical/dangerous reasons. ,Tell the user that they use their data in a normal way in the terms & conditions,1,It is only fair for the user to benefit from it if their data is being used,Use data to help the user's algorithm ,1,1,,2,1,,5,,6671addff35007ecc777b619,6806e80aa09de22ad716aebf,6806ea2492f78a6853497fcd,finance,Venmo
