Category,Tracking,Analytics,Third-Party Advertising,App Functionality,Developer's Advertising or Marketing,Product Personalization,Other Purposes
Games,5972,3464,3208,3072,2054,1831,673
Finance,754,1206,298,1650,634,718,232
Shopping,2522,2637,710,3626,1310,2479,399
Photo & Video,1054,504,315,511,243,216,75
Food & Drink,908,1464,259,2072,1098,1346,235
Travel,1036,1381,352,2100,704,971,238
Music,617,457,279,493,255,253,62
Entertainment,1259,858,536,961,481,556,125
Lifestyle,1232,1796,433,2451,849,1377,279
Productivity,794,809,242,1118,307,370,131
Social Networking,1167,1204,447,1945,523,1004,252
Utilities,1108,647,359,739,219,216,100
Health & Fitness,1113,1584,377,2087,823,1110,258
Business,132,312,37,418,128,187,64
Education,860,835,297,1097,366,465,166
News,1791,957,769,1392,955,680,183
Sports,804,1091,334,1599,680,825,315
Reference,447,286,190,316,134,155,32
Books,309,200,112,243,111,159,31
Weather,662,235,250,328,85,90,78
Navigation,410,382,166,563,204,199,57
Medical,284,660,104,944,275,460,154
Graphics & Design,517,214,143,225,89,80,31
Magazines & Newspapers,83,100,20,112,51,68,3
Developer Tools,52,26,18,30,6,9,4
