Category               ,Developer's Advertising or Marketing ,Analytics ,App Functionality ,Other Purposes ,Tracking ,Third-Party Advertising ,Product Personalization
Games                  ,                              0.1981 ,   0.334  ,           0.2962 ,        0.0649 ,  0.5759 ,                 0.3094 ,                 0.1766
Finance                ,                              0.173  ,   0.3291 ,           0.4503 ,        0.0633 ,  0.2058 ,                 0.0813 ,                 0.196
Shopping               ,                              0.2388 ,   0.4808 ,           0.6611 ,        0.0727 ,  0.4598 ,                 0.1294 ,                 0.452
Photo & Video          ,                              0.0889 ,   0.1845 ,           0.187  ,        0.0275 ,  0.3858 ,                 0.1153 ,                 0.0791
Food & Drink           ,                              0.2836 ,   0.3781 ,           0.5351 ,        0.0607 ,  0.2345 ,                 0.0669 ,                 0.3476
Travel                 ,                              0.1424 ,   0.2793 ,           0.4248 ,        0.0481 ,  0.2095 ,                 0.0712 ,                 0.1964
Music                  ,                              0.09   ,   0.1614 ,           0.1741 ,        0.0219 ,  0.2179 ,                 0.0985 ,                 0.0893
Entertainment          ,                              0.1489 ,   0.2656 ,           0.2974 ,        0.0387 ,  0.3897 ,                 0.1659 ,                 0.1721
Lifestyle              ,                              0.1471 ,   0.3112 ,           0.4247 ,        0.0483 ,  0.2135 ,                 0.075  ,                 0.2386
Productivity           ,                              0.0746 ,   0.1965 ,           0.2716 ,        0.0318 ,  0.1929 ,                 0.0588 ,                 0.0899
Social Networking      ,                              0.1277 ,   0.294  ,           0.475  ,        0.0615 ,  0.285  ,                 0.1092 ,                 0.2452
Utilities              ,                              0.0549 ,   0.1622 ,           0.1853 ,        0.0251 ,  0.2778 ,                 0.09   ,                 0.0542
Health & Fitness       ,                              0.1795 ,   0.3454 ,           0.4551 ,        0.0563 ,  0.2427 ,                 0.0822 ,                 0.242
Business               ,                              0.1349 ,   0.3288 ,           0.4405 ,        0.0674 ,  0.1391 ,                 0.039  ,                 0.197
Education              ,                              0.0811 ,   0.185  ,           0.243  ,        0.0368 ,  0.1905 ,                 0.0658 ,                 0.103
News                   ,                              0.2842 ,   0.2848 ,           0.4143 ,        0.0545 ,  0.533  ,                 0.2289 ,                 0.2024
Sports                 ,                              0.1729 ,   0.2774 ,           0.4066 ,        0.0801 ,  0.2044 ,                 0.0849 ,                 0.2098
Reference              ,                              0.0705 ,   0.1504 ,           0.1661 ,        0.0168 ,  0.235  ,                 0.0999 ,                 0.0815
Books                  ,                              0.1239 ,   0.2232 ,           0.2712 ,        0.0346 ,  0.3449 ,                 0.125  ,                 0.1775
Weather                ,                              0.0535 ,   0.148  ,           0.2065 ,        0.0491 ,  0.4169 ,                 0.1574 ,                 0.0567
Navigation             ,                              0.1032 ,   0.1932 ,           0.2848 ,        0.0288 ,  0.2074 ,                 0.084  ,                 0.1007
Medical                ,                              0.1009 ,   0.2422 ,           0.3464 ,        0.0565 ,  0.1042 ,                 0.0382 ,                 0.1688
Graphics & Design      ,                              0.0571 ,   0.1372 ,           0.1442 ,        0.0199 ,  0.3314 ,                 0.0917 ,                 0.0513
Magazines & Newspapers ,                              0.2237 ,   0.4386 ,           0.4912 ,        0.0132 ,  0.364  ,                 0.0877 ,                 0.2982
Developer Tools        ,                              0.0118 ,   0.051  ,           0.0588 ,        0.0078 ,  0.102  ,                 0.0353 ,                 0.0176
